universal-ctags-git 0.r6974.9757e4ff-1
unrar 1:5.9.2-1
unzip 6.0-14
urxvt-font-size-git 32-1
urxvt-perls 2.3-1
usb_modeswitch 2.6.0-2
usbutils 012-2
user-manager 5.18.5-1
util-linux 2.35.1-2
vi 1:070224-4
vifm 0.10.1-1
vimpager 2.06-4
virtualbox 6.1.8-2
vis 0.5.r200.ge1d81ac-1
vlc 3.0.10-1
vnstat 2.6-1
vtop 0.6.1-1
w3m 0.5.3.git20200507-1
wavpack 5.2.0-2
weechat 2.8-2
wget 1.20.3-3
which 2.21-5
wireless_tools 30.pre9-3
xcape 1.2-3
xclip 0.13-3
xdg-desktop-portal-kde 5.18.5-1
xdman 2020.7.2.10-1
xdotool 3.20160805.1-2
xfsprogs 5.6.0-2
xkb-switch 1.6.0-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-5
xorg-fonts-75dpi 1.0.3-5
xorg-fonts-cyrillic 1.0.3-4
xorg-fonts-encodings 1.0.5-2
xorg-fonts-misc 1.0.3-7
xorg-fonts-type1 7.7-4
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-server-devel 1.20.8-2
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-twm 1.0.10-2
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xclock 1.0.9-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.3-2
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xload 1.1.3-2
xorg-xlogo 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
